,OrderId,Companhia,Secao,Tipo_Questao,Nota,Motivo_Selecionado,Comentario,Grupo_Motivo,Classificacao_NPS
9901,2675261,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com João Pedro, informou que já é cliente a muitos anos e sempre tem um ótimo atendimento. ",Qualidade do atendimento,Promotor
9904,2675140,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Eliandro (esposo), informou que foram rápidos. ",Qualidade do atendimento,Promotor
9905,2639574,Bradesco Seguros,Funilaria Capô,Carglass,10,Rapidez no atendimento e serviço prestado,Foi fácil de agendar e entregaram o carro mais rápido do prometido.,Qualidade do atendimento,Promotor
9907,2674909,Bradesco Seguros,Capa de Retrovisor Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento. ,Qualidade do atendimento,Promotor
9908,2674685,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Maicon, informou foi tudo excelente, tudo certo. ",Qualidade do atendimento,Promotor
9909,2674666,Bradesco Seguros,Funilaria Para-Choque Traseiro Esquerdo/Motorista,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que foi a corretora que fez a abertura e foi bem agil e atenciosos. ,Qualidade do atendimento,Promotor
9910,2674566,Ezze Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento. ,Qualidade do atendimento,Promotor
9914,2674268,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Fernanda, informou que sempre foi bem atendida, sempre prestaram um ótimo atendimento.",Qualidade do atendimento,Promotor
9915,2674196,Seguros Sura,Reparo (1 Ponto),Carglass,10,Qualidade do atendimento em geral,cliente ressalta o bom atendimento. ,Qualidade do atendimento,Promotor
9917,2640513,Bradesco Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,"Cliente ressalta que deu um pouco de confusão na hora da loja credenciada, mas no final deu certo.",Qualidade do atendimento,Promotor
9920,2640733,Porto Seguro,Funilaria Tampa traseira,Carglass,9,Qualidade do atendimento em geral,Cliente ressalta que teve um bom atendimento.,Qualidade do atendimento,Promotor
9925,2673301,Porto Seguro,Funilaria Porta Dianteira Direita,Carglass,9,Qualidade do atendimento – telefonia e agendamento,Muito boa!,Liberação,Promotor
9928,2641190,Seguros Sura,Vigia,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente Luan, informou que foi bem atendido e agilizaram, pediu em um dia e liberou no outro.",Qualidade do atendimento,Promotor
9929,2673111,Bradesco Seguros,Pisca P/ Retrovisor Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,"cliente informa que gostou muito do atendimento, foram muito prestativos. ",Qualidade do atendimento,Promotor
9931,2672962,Bradesco Seguros,Vidro Lateral Esquerdo/Motorista,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Muito eficientes e objetivos ,Liberação,Promotor
9932,2672857,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Thali, informou que todas as vezes que precisa de atendimento sempre são bem atendidos.",Qualidade do atendimento,Promotor
9933,2672689,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com Evaldo, informou que foi bem atendido mais sempre tem o que melhorar .",Qualidade do atendimento,Promotor
9937,2641840,Bradesco Seguros,Funilaria Para-lama Traseiro Esquerdo,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Evandro (esposo), informou que foi rápido e foi bem atendido. ",Qualidade do atendimento,Promotor
9938,2641892,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez. ,Qualidade do atendimento,Promotor
9939,2672326,Ezze Seguros,Lente de Retrovisor Direito/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Vivy, informou que fomos ágeis e rápidos . ",Qualidade do atendimento,Promotor
9940,2672163,Porto Seguro,Funilaria Para-lama Traseiro Esquerdo,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,"O carro ficou bom, bom atendimento",Qualidade do atendimento,Promotor
9941,2642165,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta agilidade no atendimento. ,Qualidade do atendimento,Promotor
9942,2642270,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente informa que foi bem atendido.,Qualidade do atendimento,Promotor
9943,2671647,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Boa ,Qualidade do atendimento,Promotor
9944,2642650,Arval,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que deu tudo certo. ,Qualidade do atendimento,Promotor
9946,2642792,Bradesco Seguros,Vidro Lateral Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,cliente informa que foi bem atendido.,Qualidade do atendimento,Promotor
9951,2643244,Porto Seguro,Funilaria Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Serviço executado com perfeição.,Qualidade do atendimento,Promotor
9953,2670677,Bradesco Seguros,Funilaria Para-Choque Traseiro Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,Rápidez,Qualidade do atendimento,Promotor
9955,2670540,Bradesco Seguros,Funilaria Para-Choque Dianteiro Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Serviço rápido e bem feito ,Qualidade do atendimento,Promotor
9956,2644056,Azul Seguros,Funilaria Porta Traseira Esquerda,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Cliente ressalta que foi bem rápido o atendimento e não teve enrolação.,Qualidade do atendimento,Promotor
9957,2644139,ALD Comfort,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta o pronto atendimento. ,Qualidade do atendimento,Promotor
9962,2668561,Azul Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Ótimo atendimento ,Qualidade do atendimento,Promotor
9963,2645387,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente, informou que foram bem atenciosos e sempre que precisa atendem bem.",Qualidade do atendimento,Promotor
9964,2668442,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,Rapidez e facilidade para abertura do atendimento,"Estou extremamente satisfeito com a agilidade no atendimento à minha necessidade de abertura de sinistro. Em 2025, tive dois sinistros com meu veículo e, em ambas as ocasiões, minha corretora prontamente abriu o chamado. Logo em seguida, indiquei a prestadora de serviços de minha preferência e, em menos de uma semana, tudo já estava resolvido.",Abertura do atendimento,Promotor
9965,2645491,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com Alexandra, informou que foi bem atendida .",Qualidade do atendimento,Promotor
9966,2668320,Bradesco Seguros,Funilaria Para-Choque Dianteiro Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Atendimento Excelente no primeiro contato com telefone/whats, secretária simpática e comunicativa! Serviço bem executado e no prazo previsto. ",Qualidade do atendimento,Promotor
9967,2645589,Sem Parar,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com João Carlos, informou que foi bem atendido e foi rápido a solução do problema. ",Qualidade do atendimento,Promotor
9969,2668114,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Qualidade do atendimento em geral,Cliente ressalta que o atendimento foi bom.,Qualidade do atendimento,Promotor
9971,2668046,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Excelente!,Qualidade do atendimento,Promotor
9972,2667962,Sem Parar,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com João, informou que foi bem atendido. ",Qualidade do atendimento,Promotor
9973,2667905,Bradesco Seguros,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,"cliente informa que gostou de todo o processo, nao teve nenhum problema.",Qualidade do atendimento,Promotor
9975,2646072,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento e agilidade na solução do problema . ,Qualidade do atendimento,Promotor
9976,2667598,Arval,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"A responsável Antônia informa que todos foram atenciosos, e foi agendado rápido.",Qualidade do atendimento,Promotor
9978,2646417,Arval,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"O cliente Roberto gostou do atendimento, foi bem rápido, achou que seria mais burocrático.",Qualidade do atendimento,Promotor
9981,2646642,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta o bom atendimento. ,Qualidade do atendimento,Promotor
9982,2646714,Porto Seguro,Funilaria Capô,Carglass,10,Qualidade do atendimento em geral,Muito atenciosos e sensíveis  As explicações ??,Qualidade do atendimento,Promotor
9983,2646727,Porto Seguro,Funilaria Para-Choque Traseiro,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento muito bom,Qualidade do atendimento,Promotor
9984,2666774,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Alexandro, informou que teve um atendimento rápido .",Qualidade do atendimento,Promotor
9985,2666731,Bradesco Seguros,Para-lama Traseiro Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Cliente ressalta que deu tudo certo.,Qualidade do atendimento,Promotor
9986,2666626,PSA,Under Car,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento facilidade de comunicação e bom retorno. ,Qualidade do atendimento,Promotor
9990,2647533,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Todos atendentes respeitosos e atenciosos, agendamento facilitado, serviço rápido e de qualidade.",Qualidade do atendimento,Promotor
9993,2666314,Seguros Sura,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente ressalta agilidade, quando abre o atendimento solicita que envie para a loja parceira e rapidamente é feito o processo. ",Qualidade do atendimento,Promotor
9994,2647657,Bradesco Seguros,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Cliente ressalta que deu tudo certo.,Qualidade do atendimento,Promotor
9995,2647735,VW Protege,Farol Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,"Em contato com Lucas, informou que não teve problemas e foram rápidos, foi tranquilo . ",Qualidade do atendimento,Promotor
9997,2648087,Azul Seguros,Funilaria Capô,Carglass,10,Qualidade do atendimento em geral,"Em contato com Nelma, informou que foi prontamente atendida.",Qualidade do atendimento,Promotor
9998,2648099,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,9,Rapidez e facilidade para abertura do atendimento,Rapidamente tive o retorno e a liberação para as devidas manutenções. ,Abertura do atendimento,Promotor
10000,2648211,Bradesco Seguros,Parabrisa,Carglass,9,Rapidez no atendimento e serviço prestado,Muito bom ,Qualidade do atendimento,Promotor
10003,2665585,HelpS - Santander,Funilaria Porta Traseira Esquerda,Carglass,10,Qualidade do atendimento em geral,"cliente ressalta bom atendimento, agilidade, prestativos, quando solicitou um reparo que nao daria para ser feito entraram em contato e foi explicado como deveria proceder, atendimento rápido e um custo beneficio bom.  Se pudesse daria nota 15 ",Qualidade do atendimento,Promotor
10004,2665370,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"cliente ressalta o bom atendimento. 
",Qualidade do atendimento,Promotor
10005,2648522,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,otimo atendimento,Qualidade do atendimento,Promotor
10006,2648771,Porto Seguro,Funilaria Para-lama Dianteiro Direito,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Fui muito bem atendido, tanto que solicitei que o serviço fosse feito lá com eles novamente.",Qualidade do atendimento,Promotor
10007,2664912,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta agilidade. ,Qualidade do atendimento,Promotor
10009,2664682,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente ressalta bom atendimento e foi agendado.,Qualidade do atendimento,Promotor
10011,2649328,Porto Seguro,Funilaria Porta Traseira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Fui bem atendido desde o agendamento até entrega e solicitei que me entregasse o veículo dentro do prazo definido o que foi cumprido,Qualidade do atendimento,Promotor
10012,2649792,Bradesco Seguros,Reparo (1 Ponto),Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez. ,Qualidade do atendimento,Promotor
10017,2663811,Ezze Seguros,Retrovisor Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,"Em contato com Douglas, informou que a Carglass atendeu super bem.",Qualidade do atendimento,Promotor
10023,2650508,Seguros Sura,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com o cliente Ulir, informou que foi rápido. ",Qualidade do atendimento,Promotor
10024,2663352,Ezze Seguros,Reparo (1 Ponto),Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"O responsável Wedeanderson só teve coisas boas, não tem do que reclamar.",Qualidade do atendimento,Promotor
10025,2650583,Bradesco Seguros,Funilaria Para-lama Traseiro Direito,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que foi normal e deu certo. ,Qualidade do atendimento,Promotor
10027,2663046,Ezze Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Ney, informou que foi bem atendido.",Qualidade do atendimento,Promotor
10029,2650889,Bradesco Seguros,Funilaria Tampa traseira,Carglass,9,Qualidade do atendimento em geral,Me senti bem atendida,Qualidade do atendimento,Promotor
10031,2662875,Porto Seguro,Funilaria Para-Choque Dianteiro Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,Excelente prestador de serviço .,Qualidade do atendimento,Promotor
10032,2651076,Azul Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Foi um bom trabalho nota 10,Qualidade do atendimento,Promotor
10033,2662816,Porto Seguro,Para-lama Traseiro Direito/Passageiro,Carglass,10,Rapidez e facilidade para abertura do atendimento,Agilidade e competência no procedimento no todo!,Abertura do atendimento,Promotor
10034,2662764,Porto Seguro,Funilaria Tampa traseira,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Bom atendimento,Qualidade do atendimento,Promotor
10035,2651250,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Show,Qualidade do atendimento,Promotor
10036,2651293,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,Atendimento cortês e rápido ,Qualidade do atendimento,Promotor
10037,2662632,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente informa que quem fez a abertura foi o corretor, mas a liberação foi muito rápida.",Qualidade do atendimento,Promotor
10038,2651741,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez. ,Qualidade do atendimento,Promotor
10039,2651822,Porto Seguro,Funilaria Para-Choque Traseiro Direito/Passageiro,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Fui bem atendido ,Qualidade do atendimento,Promotor
10045,2661769,Ezze Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Matheus, informou que foi Bem atendido .",Qualidade do atendimento,Promotor
10046,2652364,Ezze Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,A responsável Aline sempre foi bem atendida.,Qualidade do atendimento,Promotor
10047,2661575,Seguros Sura,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,O responsável Ulir foi atendido rápido.,Qualidade do atendimento,Promotor
10049,2661237,Bradesco Seguros,Reparo (1 Ponto),Carglass,10,Qualidade do atendimento em geral,cliente ressalta qualidade de atendimento e deu tudo certo. ,Qualidade do atendimento,Promotor
10050,2652731,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Cordialidade, qualidade no serviço  ,ótimo atendimento ",Qualidade do atendimento,Promotor
10051,2660861,Bradesco Seguros,Farol Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,DEPOIS DE SOLICITADO ALTERAÇÃO DE LOJA PARA TUBARÃO VEICULOS QUE FICA NA CIDADE DE TAIO TUDO CORREU DE FORMA MAIS RAPIDA E EFICIENTE.,Qualidade do atendimento,Promotor
10052,2660798,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Cliente ressalta que deu tudo certo, os atendentes foram super atenciosos.",Qualidade do atendimento,Promotor
10054,2653341,Ezze Seguros,Reparo (1 Ponto),Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,O cliente Henrique não teve problemas.,Qualidade do atendimento,Promotor
10055,2660452,HelpS - Santander,Funilaria Para-lama Dianteiro Direito,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Muito agilidade no atendimento ,Liberação,Promotor
10056,2660234,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Qualidade no serviço ,Qualidade do atendimento,Promotor
10058,2660122,Bradesco Seguros,Funilaria Para-Choque Dianteiro Direito/Passageiro,Carglass,9,Qualidade do atendimento – telefonia e agendamento,"Ótimo, fui muito bem recebido e serviço impecável.",Liberação,Promotor
10059,2660119,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta o bom atendimento do primeiro atendimento. ,Qualidade do atendimento,Promotor
10061,2659862,Porto Seguro,Funilaria Capô,Carglass,10,Qualidade do atendimento em geral,Fui muito bem atendida e acessorada pelo lojista.,Qualidade do atendimento,Promotor
10066,2659364,Azul Seguros,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento em geral,"Em contato com Fabiano, informou que gostou da agilidade e retorno rápido. ",Qualidade do atendimento,Promotor
10067,2659303,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,A responsável Thaise teve um bom atendimento.,Qualidade do atendimento,Promotor
10070,2655263,Bradesco Seguros,Lanterna Traseira Direita/Passageiro Led,Carglass,9,Rapidez no atendimento e serviço prestado,Agilidade e atenção no atendimento e atenção dada pela pessoa responsável pelo seguro.,Qualidade do atendimento,Promotor
10072,2655542,Azul Seguros,Funilaria Porta Dianteira Esquerda,Carglass,10,Qualidade do atendimento em geral,"Em contato com Daniele, informou que gostou do pronto atendimento .",Qualidade do atendimento,Promotor
10074,2655683,Bradesco Seguros,Parabrisa,Carglass,10,Rapidez no atendimento e serviço prestado,Tudo muito ágil,Qualidade do atendimento,Promotor
10079,2658171,Sem Parar,Parabrisa,Carglass,9,Qualidade do atendimento em geral,cliente ressalta o bom atendimento. ,Qualidade do atendimento,Promotor
10080,2656336,Azul Seguros,Funilaria Porta Traseira Direita,Carglass,9,Qualidade do atendimento em geral,"Em contato com Aluísio, informou que foi bem atendido .",Qualidade do atendimento,Promotor
10081,2657978,Porto Seguro,Funilaria Porta Traseira Direita,Carglass,9,Rapidez e facilidade para abertura do atendimento,n,Abertura do atendimento,Promotor
10082,2657977,Bradesco Seguros,Reparo (1 Ponto),Carglass,10,Qualidade do atendimento em geral,"O cliente Fernando foi bem atendido, tudo tranquilo.",Qualidade do atendimento,Promotor
10083,2657897,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Cliente ressalta que deu tudo certo.,Qualidade do atendimento,Promotor
10090,2657477,Azul Seguros,Funilaria Porta Dianteira Direita,Carglass,10,Qualidade do atendimento em geral,cliente informa que o atendimento e respaldo foi muito bom.,Qualidade do atendimento,Promotor
10092,2585778,Bradesco Seguros,Funilaria Para-lama Traseiro Direito,Carglass,1,Problemas/Dificuldade com links de atendimento,Não foi realizado o serviço .,Mensageria,Detrator
10093,2696663,Bradesco Seguros,Funilaria Tampa traseira,Carglass,4,Demora para agendamento,"Os dois serviços  já tinham sido autorizados, inclusive enviou o endereço
da loja, depois que já tinha deixado o carro,      a  Car Glass me mandou telefonar e disseram que só fariam um serviço da tampa da mala o outro do para-choque não fez. sendo que já tinha sido autorizado também. .Falta de consideração e palavra para com o cliente 









",Liberação,Detrator
10094,2668439,Azul Seguros,Funilaria Porta Dianteira Esquerda,Carglass,2,Marca da peça utilizada,"A pintura com péssimo acabamento (ecorreu); pintou partes que não precisava, inclusive quando deixei o carro avisei à atendente que somente era para pintar a parte de baixo do friso e pintaram toda a porta. Também pintaram abaixo do retrovisor onde não tinha nenhum arranhão, acredito que algo ocorreu quando foram desmontar o retrovisor. Apenas o atendimento do pessoal foi bom, mas quanto o serviço estou muito decepcionado!",Comercial/Produtos,Detrator
10095,2724135,Ezze Seguros,Parabrisa,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,Demorou a chegada do material para troca,Qualidade do atendimento,Neutro
10096,2600832,Porto Seguro,Funilaria Para-Choque Dianteiro Direito/Passageiro,Carglass,8,Rapidez no atendimento e serviço prestado,Oficina simples porém com ótimo atendimento e qualidade no serviço prestado. Recomendo .,Qualidade do atendimento,Neutro
10097,2706640,Bradesco Seguros,Funilaria Porta Dianteira Esquerda,Carglass,7,A experiência com atendimento e serviço prestado agradou o cliente,Serviço da pintura não ficou 100% . Entregaram o carro sujo por fora e por dentro. O carro rodou na mão da oficina 11km com comprovação do fato. ,Qualidade do atendimento,Neutro
10101,2691989,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,8,Divergência/Valor elevado de franquia,"Foi feito um serviço que eu não autorizei, e eu tive de pagar o serviço.",Comercial/Produtos,Neutro
10102,2628018,Porto Seguro,Funilaria Porta Dianteira Esquerda,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"Experiência boa, atendimento rápido, respostas no Whatzap rápidas também ",Qualidade do atendimento,Neutro
10103,2685036,Porto Seguro,Funilaria Capô,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"Na análise de pequenos danos, foi retirada a mossa do capô e deveria ser restaurado o para-choque superior, já que o inferior, eu compraria.
Não foi liberado o serviço do para-choque superior, mas o profissional fez perfeitamente.
Mas tive que pagar por fora.",Qualidade do atendimento,Neutro
10104,2629717,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,7,Problemas/dificuldade com link de vistoria,"cliente informa que teve dificuldade na aprovação devido ser por foto, e so depois que ele entrou em contato com o corretor que pediu vistoria presencial que conseguiu a aprovação. ",Mensageria,Neutro
10105,2666719,ALD Automotive,Parabrisa,Carglass,8,Atraso na liberação do atendimento,"Em contato com Rafael, ele informou que houve demora no retorno do agendamento da loja.
",Liberação,Neutro
10106,2652692,Bradesco Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"Foi boa, pois fui bem atendido",Qualidade do atendimento,Neutro
10110,2587014,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Muito bom ,Liberação,Promotor
10111,2587388,Porto Seguro,Funilaria Soleira Direita,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Muito bom o atendimento rápido e excelente o acabamento ,Qualidade do atendimento,Promotor
10113,2600401,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Serviço ficou excelente ?? ,Qualidade do atendimento,Promotor
10114,2601279,Porto Seguro,Funilaria Para-Choque Traseiro Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento ao cliente excelente!,Qualidade do atendimento,Promotor
10115,2602030,Porto Seguro,Funilaria Porta Dianteira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Me surpreendi com o serviço e atendimento ! Recomendo para todo mundo !,Qualidade do atendimento,Promotor
10116,2709919,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,"Em contato com cliente informou que, foi excelente .",Qualidade do atendimento,Promotor
10117,2603978,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que a empresa é muito etica e profissional. ,Qualidade do atendimento,Promotor
10118,2604901,Bradesco Seguros,Funilaria Porta Dianteira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Gostei do serviço e do cumprimento do prazo,Qualidade do atendimento,Promotor
10119,2604968,Porto Seguro,Funilaria Porta Traseira Direita,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta agilidade. ,Qualidade do atendimento,Promotor
10120,2608660,Azul Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Rapidez e facilidade para abertura do atendimento,"Não conhecia o serviço, mas garanto que amei",Abertura do atendimento,Promotor
10121,2610472,ALD Automotive,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Rápido . ,Qualidade do atendimento,Promotor
10122,2702033,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Desde o atendimento inicial até o resultado final (serviço da oficina e prazo de entrega) tudo correu muito bem.,Qualidade do atendimento,Promotor
10123,2611772,Bradesco Seguros,Funilaria Soleira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,A empresa tem atendimento e serviços eficazes,Qualidade do atendimento,Promotor
10125,2697994,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Wagner, ele informou que foi tudo tranquilo deu tudo certo.",Qualidade do atendimento,Promotor
10126,2696818,Bradesco Seguros,Funilaria Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Fernando, ele ressaltou a  atenção.",Qualidade do atendimento,Promotor
10127,2695975,Porto Seguro,Funilaria Porta Traseira Direita,Carglass,10,Rapidez no atendimento e serviço prestado,...,Qualidade do atendimento,Promotor
10128,2693589,Seguros Sura,Vigia,Carglass,10,Qualidade do atendimento em geral,"Em contato com Nelson, informou que foi bem atendido e resolveu o problema. ",Qualidade do atendimento,Promotor
10129,2619975,Bradesco Seguros,Funilaria Porta Dianteira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Tudo dentro do informado ,Qualidade do atendimento,Promotor
10132,2689999,ALD Automotive,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com Cristiane, informou que só demorou um pouco a liberação . ",Qualidade do atendimento,Promotor
10133,2623316,Porto Seguro,Funilaria Para-Choque Dianteiro Direito/Passageiro,Carglass,10,Rapidez e facilidade para abertura do atendimento,"Rapidez, simpatia e qualidade no atendimento e encaminhamento para estabelecimento credenciado na cidade de Aracaju. ",Abertura do atendimento,Promotor
10135,2688976,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,"Foi ótimo em todos os aspectos,estou muito satisfeita com agilidade  que fui  atendida e com o serviço que foi feito.",Qualidade do atendimento,Promotor
10137,2687599,ALD Automotive,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com Vanessa, informou que o atendimento foi ótimo, mais demorou um pouco a liberação.  ",Qualidade do atendimento,Promotor
10138,2626968,Bradesco Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,9,Qualidade do atendimento em geral,cliente ressalta bom atendimento.,Qualidade do atendimento,Promotor
